GeneID	GeneName	Symbol	Chr	Start	End	Strand	GeneBiotype
AT1G71235	AT1G71235		Chr1	26854559	26855222	+	protein_coding
AT1G71240	AT1G71240		Chr1	26855331	26859844	+	protein_coding
AT1G71250	AT1G71250		Chr1	26860110	26861726	+	protein_coding
AT1G71260	AT1G71260	ATWHY2	Chr1	26861657	26863454	-	protein_coding
AT1G09223	AT1G09223		Chr1	26861970	26862189	+	antisense_long_noncoding_rna
AT1G71270	AT1G71270	POK	Chr1	26863587	26870015	+	protein_coding
AT1G71280	AT1G71280		Chr1	26870093	26872152	-	protein_coding
AT1G71290	AT1G71290		Chr1	26872643	26873242	+	protein_coding
AT1G09227	AT1G09227		Chr1	26873395	26873938	+	long_noncoding_rna
AT1G71300	AT1G71300		Chr1	26874064	26878319	+	protein_coding
AT1G71310	AT1G71310	RAD52-1	Chr1	26877745	26880064	-	protein_coding
AT1G09233	AT1G09233		Chr1	26878908	26879174	+	antisense_long_noncoding_rna
AT1G71320	AT1G71320		Chr1	26882485	26883818	+	protein_coding
AT1G71330	AT1G71330	NAP5	Chr1	26884014	26885169	-	protein_coding
AT1G71340	AT1G71340	GDPD4	Chr1	26885170	26888364	-	protein_coding
AT1G71350	AT1G71350		Chr1	26888368	26891284	-	protein_coding
AT1G71360	AT1G71360		Chr1	26891956	26894856	-	protein_coding
AT1G09237	AT1G09237	U5-12	Chr1	26895256	26895298	+	small_nuclear_rna
AT1G71370	AT1G71370		Chr1	26897005	26899434	-	protein_coding
AT1G71380	AT1G71380	CEL3	Chr1	26899765	26901976	-	protein_coding
AT1G09243	AT1G09243		Chr1	26904262	26904744	+	long_noncoding_rna
AT1G71390	AT1G71390	RLP11	Chr1	26906401	26908975	+	protein_coding
AT1G71400	AT1G71400	RLP12	Chr1	26909792	26912597	+	protein_coding
AT1G71410	AT1G71410		Chr1	26912726	26917732	-	protein_coding
AT1G71420	AT1G71420		Chr1	26917786	26920099	-	protein_coding
AT1G09247	AT1G09247		Chr1	26920412	26920721	-	antisense_long_noncoding_rna
AT1G71430	AT1G71430		Chr1	26920440	26921152	+	protein_coding
AT1G71440	AT1G71440	PFI	Chr1	26921060	26924431	-	protein_coding
AT1G71450	AT1G71450		Chr1	26927012	26928056	+	protein_coding
AT1G71460	AT1G71460		Chr1	26927984	26930347	-	protein_coding
AT1G71470	AT1G71470		Chr1	26930706	26931568	+	protein_coding
AT1G71480	AT1G71480		Chr1	26931852	26933313	+	protein_coding
AT1G09253	AT1G09253		Chr1	26932071	26932467	-	antisense_long_noncoding_rna
AT1G71490	AT1G71490		Chr1	26932905	26935825	-	protein_coding
AT1G09257	AT1G09257		Chr1	26933746	26934487	+	antisense_long_noncoding_rna
AT1G71500	AT1G71500		Chr1	26935982	26937607	+	protein_coding
AT1G71520	AT1G71520		Chr1	26938369	26939267	+	protein_coding
AT1G71528	AT1G71528		Chr1	26939500	26942952	-	antisense_long_noncoding_rna
AT1G71530	AT1G71530		Chr1	26939567	26942952	+	protein_coding
AT1G71680	AT1G71680		Chr1	26944587	26947219	+	protein_coding
AT1G71690	AT1G71690		Chr1	26947754	26949248	+	protein_coding
AT1G71691	AT1G71691		Chr1	26948743	26951547	-	protein_coding
AT1G71692	AT1G71692	AGL12	Chr1	26952545	26955127	-	protein_coding
AT1G71695	AT1G71695		Chr1	26964087	26966688	+	protein_coding
AT1G71696	AT1G71696	SOL1	Chr1	26966766	26970603	+	protein_coding
AT1G71697	AT1G71697	CK1	Chr1	26970968	26973464	+	protein_coding
AT1G71700	AT1G71700		Chr1	26973389	26973459	+	pre_trna
AT1G71710	AT1G71710		Chr1	26973567	26981046	-	protein_coding
AT1G09263	AT1G09263		Chr1	26979604	26979846	+	long_noncoding_rna
AT1G71720	AT1G71720	PDE338	Chr1	26983615	26985990	+	protein_coding
AT1G71730	AT1G71730		Chr1	26985969	26986909	-	protein_coding
AT1G71740	AT1G71740		Chr1	26987245	26987637	+	protein_coding
AT1G71750	AT1G71750	HGPT	Chr1	26987775	26989199	-	protein_coding
AT1G71760	AT1G71760		Chr1	26989318	26990617	+	protein_coding
AT1G71770	AT1G71770	PAB5	Chr1	26990525	26994259	-	protein_coding
AT1G71780	AT1G71780		Chr1	26994977	26996673	-	protein_coding
AT1G71790	AT1G71790	CPB	Chr1	26996805	26999067	+	protein_coding
AT1G71800	AT1G71800	CSTF64	Chr1	26999374	27002458	+	protein_coding
AT1G71810	AT1G71810		Chr1	27002414	27008184	-	protein_coding
AT1G71820	AT1G71820	SEC6	Chr1	27009564	27017124	+	protein_coding
AT1G71828	AT1G71828		Chr1	27017801	27018315	-	antisense_long_noncoding_rna
AT1G71830	AT1G71830	SERK1	Chr1	27018158	27022117	+	protein_coding
AT1G71840	AT1G71840		Chr1	27022138	27024551	+	protein_coding
AT1G71850	AT1G71850		Chr1	27024731	27026363	-	protein_coding
AT1G71860	AT1G71860	PTP1	Chr1	27026677	27029092	+	protein_coding
AT1G71865	AT1G71865		Chr1	27029116	27030560	+	protein_coding
AT1G09267	AT1G09267		Chr1	27029396	27029649	-	antisense_long_noncoding_rna
AT1G71866	AT1G71866		Chr1	27030427	27031461	-	protein_coding
AT1G71870	AT1G71870		Chr1	27032221	27035182	-	protein_coding
AT1G09273	AT1G09273		Chr1	27042717	27043026	+	long_noncoding_rna
AT1G71880	AT1G71880	SUC1	Chr1	27054030	27056464	+	protein_coding
AT1G71890	AT1G71890	SUC5	Chr1	27058381	27060786	+	protein_coding
AT1G71900	AT1G71900		Chr1	27061461	27064530	+	protein_coding
AT1G71910	AT1G71910		Chr1	27064932	27066109	+	protein_coding
AT1G71920	AT1G71920	HISN6B	Chr1	27066948	27069166	+	protein_coding
AT1G09277	AT1G09277		Chr1	27073231	27073604	+	other_rna
AT1G09283	AT1G09283		Chr1	27073270	27073709	-	long_noncoding_rna
AT1G71930	AT1G71930	VND7	Chr1	27074702	27077991	+	protein_coding
AT1G71940	AT1G71940		Chr1	27078524	27080248	+	protein_coding
AT1G71950	AT1G71950		Chr1	27080184	27081641	-	protein_coding
AT1G09287	AT1G09287		Chr1	27080516	27081002	+	antisense_long_noncoding_rna
AT1G71960	AT1G71960	ABCG25	Chr1	27082394	27088248	-	protein_coding
AT1G09293	AT1G09293		Chr1	27090633	27090945	+	long_noncoding_rna
AT1G71970	AT1G71970		Chr1	27092893	27094035	+	protein_coding
AT1G71980	AT1G71980		Chr1	27097703	27100202	+	protein_coding
AT1G71990	AT1G71990	FUT13	Chr1	27100210	27102292	+	protein_coding
AT1G72000	AT1G72000	A/N-InvF	Chr1	27103277	27105663	+	protein_coding
AT1G72010	AT1G72010		Chr1	27107558	27109275	+	protein_coding
AT1G72020	AT1G72020		Chr1	27109291	27110593	-	protein_coding
AT1G72030	AT1G72030		Chr1	27110832	27111932	+	protein_coding
AT1G72040	AT1G72040	dNK	Chr1	27111894	27114399	-	protein_coding
AT1G72050	AT1G72050	TFIIIA	Chr1	27115016	27117509	+	protein_coding
AT1G72060	AT1G72060		Chr1	27118177	27119011	+	protein_coding
AT1G72070	AT1G72070		Chr1	27118621	27119918	-	protein_coding
AT1G09297	AT1G09297		Chr1	27119300	27119697	+	antisense_long_noncoding_rna
AT1G72080	AT1G72080		Chr1	27120157	27122783	-	protein_coding
AT1G09303	AT1G09303		Chr1	27122779	27123029	+	long_noncoding_rna
AT1G72090	AT1G72090		Chr1	27123567	27126950	+	protein_coding
AT1G72100	AT1G72100		Chr1	27127170	27128978	+	protein_coding
AT1G72110	AT1G72110		Chr1	27128995	27131469	-	protein_coding
AT1G72120	AT1G72120		Chr1	27132014	27134101	+	protein_coding
AT1G72125	AT1G72125		Chr1	27134108	27136403	+	protein_coding
AT1G72130	AT1G72130		Chr1	27137102	27139384	+	protein_coding
AT1G72131	AT1G72131		Chr1	27139395	27140536	+	pseudogene
AT1G72140	AT1G72140		Chr1	27141765	27144490	+	protein_coding
AT1G72141	AT1G72141		Chr1	27145146	27145322	-	protein_coding
AT1G72150	AT1G72150	PATL1	Chr1	27148261	27150994	+	protein_coding
AT1G72160	AT1G72160		Chr1	27153555	27155793	-	protein_coding
AT1G72170	AT1G72170		Chr1	27156321	27157809	+	protein_coding
AT1G72175	AT1G72175		Chr1	27157875	27159735	+	protein_coding
AT1G72180	AT1G72180		Chr1	27162820	27167430	+	protein_coding
AT1G72190	AT1G72190		Chr1	27167363	27169754	-	protein_coding
AT1G72200	AT1G72200		Chr1	27169759	27171410	-	protein_coding
AT1G72210	AT1G72210		Chr1	27179458	27182456	+	protein_coding
AT1G72220	AT1G72220		Chr1	27184245	27185883	-	protein_coding
AT1G72230	AT1G72230		Chr1	27188036	27189358	+	protein_coding
AT1G72240	AT1G72240		Chr1	27190036	27190754	+	protein_coding
AT1G72250	AT1G72250		Chr1	27192740	27198379	+	protein_coding
AT1G72260	AT1G72260	THI2.1	Chr1	27198356	27199468	-	protein_coding
AT1G72270	AT1G72270		Chr1	27199623	27209096	-	protein_coding
AT1G72275	AT1G72275		Chr1	27209404	27211500	-	protein_coding
AT1G72280	AT1G72280	ERO1	Chr1	27211821	27214688	-	protein_coding
AT1G72290	AT1G72290		Chr1	27215787	27216857	+	protein_coding
AT1G72300	AT1G72300	PSY1R	Chr1	27217368	27221265	-	protein_coding
AT1G72310	AT1G72310	ATL3	Chr1	27225665	27227545	+	protein_coding
AT1G72320	AT1G72320	PUM23	Chr1	27228059	27233167	-	protein_coding
AT1G72330	AT1G72330	ALAAT2	Chr1	27233418	27236822	+	protein_coding
AT1G72340	AT1G72340		Chr1	27236797	27238720	+	protein_coding
AT1G72350	AT1G72350		Chr1	27239273	27239947	-	protein_coding
AT1G72360	AT1G72360	ERF73	Chr1	27241696	27242968	+	protein_coding
AT1G72370	AT1G72370	P40	Chr1	27242845	27244931	-	protein_coding
AT1G72390	AT1G72390		Chr1	27245082	27251672	+	protein_coding
AT1G72410	AT1G72410		Chr1	27251710	27257081	-	protein_coding
AT1G72416	AT1G72416		Chr1	27258747	27260521	-	protein_coding
AT1G72420	AT1G72420		Chr1	27261087	27263828	-	protein_coding
AT1G72430	AT1G72430		Chr1	27264602	27265806	-	protein_coding
AT1G72440	AT1G72440	EDA25	Chr1	27268092	27273935	-	protein_coding
AT1G72450	AT1G72450	JAZ6	Chr1	27273968	27276562	-	protein_coding
AT1G09307	AT1G09307		Chr1	27276711	27277043	-	long_noncoding_rna
AT1G72460	AT1G72460		Chr1	27279341	27281830	+	protein_coding
AT1G72470	AT1G72470	EXO70D1	Chr1	27283628	27285973	+	protein_coding
AT1G72480	AT1G72480		Chr1	27285999	27288522	-	protein_coding
AT1G72490	AT1G72490		Chr1	27288900	27291107	-	protein_coding
AT1G72500	AT1G72500		Chr1	27295147	27298715	-	protein_coding
AT1G72510	AT1G72510		Chr1	27303323	27304927	+	protein_coding
AT1G09313	AT1G09313		Chr1	27305686	27306118	-	long_noncoding_rna
AT1G72520	AT1G72520	LOX4	Chr1	27308513	27312756	+	protein_coding
AT1G72530	AT1G72530		Chr1	27312954	27314644	+	protein_coding
AT1G09317	AT1G09317		Chr1	27314141	27314462	-	long_noncoding_rna
AT1G72540	AT1G72540		Chr1	27314877	27316669	-	protein_coding
AT1G72545	AT1G72545		Chr1	27315740	27316417	+	protein_coding
AT1G72550	AT1G72550		Chr1	27319688	27324112	-	protein_coding
AT1G72560	AT1G72560	PSD	Chr1	27324367	27330031	-	protein_coding
AT1G09323	AT1G09323		Chr1	27329573	27329778	+	long_noncoding_rna
AT1G72570	AT1G72570		Chr1	27331381	27333698	+	protein_coding
AT1G72580	AT1G72580		Chr1	27334076	27334771	-	protein_coding
AT1G72590	AT1G72590		Chr1	27335531	27337123	+	protein_coding
AT1G72600	AT1G72600		Chr1	27338034	27340328	+	protein_coding
AT1G09327	AT1G09327		Chr1	27338062	27338829	-	antisense_long_noncoding_rna
AT1G72610	AT1G72610	GER1	Chr1	27339114	27340044	-	protein_coding
AT1G72620	AT1G72620		Chr1	27341021	27342466	+	protein_coding
AT1G72630	AT1G72630	ELF4-L2	Chr1	27344181	27345585	+	protein_coding
AT1G72640	AT1G72640		Chr1	27346156	27348256	-	protein_coding
AT1G72645	AT1G72645		Chr1	27348261	27349219	+	protein_coding
AT1G09333	AT1G09333		Chr1	27348657	27348791	+	small_nucleolar_rna
AT1G72650	AT1G72650	TRFL6	Chr1	27349393	27353748	+	protein_coding
AT1G72660	AT1G72660		Chr1	27353765	27356852	+	protein_coding
AT1G72670	AT1G72670	iqd8	Chr1	27356459	27358863	-	protein_coding
AT1G72680	AT1G72680	CAD1	Chr1	27359109	27361024	-	protein_coding
AT1G72690	AT1G72690		Chr1	27361146	27361958	+	protein_coding
AT1G09337	AT1G09337		Chr1	27363312	27363766	+	long_noncoding_rna
AT1G72700	AT1G72700		Chr1	27365772	27371784	+	protein_coding
AT1G72710	AT1G72710	CKL2	Chr1	27372197	27376730	+	protein_coding
AT1G72720	AT1G72720		Chr1	27376682	27377473	-	protein_coding
AT1G72730	AT1G72730		Chr1	27377759	27380182	-	protein_coding
AT1G72740	AT1G72740		Chr1	27380260	27382924	-	protein_coding
AT1G72750	AT1G72750	TIM23-2	Chr1	27383320	27384524	+	protein_coding
AT1G72755	AT1G72755		Chr1	27383530	27383850	-	protein_coding
AT1G72760	AT1G72760		Chr1	27385130	27388534	-	protein_coding
AT1G72770	AT1G72770	HAB1	Chr1	27389948	27393327	+	protein_coding
AT1G72780	AT1G72780		Chr1	27393385	27393466	+	pre_trna
AT1G72790	AT1G72790		Chr1	27394598	27396799	+	protein_coding
AT1G72800	AT1G72800		Chr1	27397089	27398500	+	protein_coding
AT1G72810	AT1G72810		Chr1	27397877	27400474	-	protein_coding
AT1G72820	AT1G72820		Chr1	27402814	27404674	+	protein_coding
AT1G72830	AT1G72830	NF-YA3	Chr1	27405145	27408221	-	protein_coding
AT1G72840	AT1G72840		Chr1	27409196	27413851	-	protein_coding
AT1G72850	AT1G72850		Chr1	27413881	27415483	+	protein_coding
AT1G72852	AT1G72852		Chr1	27414295	27416050	-	antisense_long_noncoding_rna
AT1G72855	AT1G72855		Chr1	27416114	27419122	+	antisense_long_noncoding_rna
AT1G72860	AT1G72860		Chr1	27416228	27420946	-	protein_coding
AT1G72870	AT1G72870		Chr1	27420939	27423338	+	protein_coding
AT1G72880	AT1G72880		Chr1	27423385	27426215	-	protein_coding
AT1G72890	AT1G72890		Chr1	27429916	27432003	+	protein_coding
AT1G72900	AT1G72900		Chr1	27432178	27433782	+	protein_coding
AT1G72910	AT1G72910		Chr1	27435306	27437192	+	protein_coding
AT1G09343	AT1G09343		Chr1	27437638	27437846	-	long_noncoding_rna
AT1G72920	AT1G72920		Chr1	27437899	27439209	+	protein_coding
AT1G72930	AT1G72930	TIR	Chr1	27439240	27440464	+	protein_coding
AT1G09353	AT1G09353		Chr1	27440983	27441586	-	long_noncoding_rna
AT1G72940	AT1G72940		Chr1	27441981	27443859	+	protein_coding
AT1G09357	AT1G09357		Chr1	27443939	27444522	-	long_noncoding_rna
AT1G72950	AT1G72950		Chr1	27444415	27445997	+	protein_coding
AT1G72960	AT1G72960		Chr1	27446069	27451067	+	protein_coding
AT1G72970	AT1G72970	HTH	Chr1	27452748	27455964	+	protein_coding
AT1G72980	AT1G72980	LBD7	Chr1	27456043	27456949	-	protein_coding
AT1G72990	AT1G72990	BGAL17	Chr1	27457266	27462487	-	protein_coding
AT1G73000	AT1G73000	PYL3	Chr1	27462983	27463968	+	protein_coding
AT1G73010	AT1G73010	PS2	Chr1	27464528	27466348	-	protein_coding
AT1G73020	AT1G73020		Chr1	27469496	27473660	-	protein_coding
AT1G73030	AT1G73030	VPS46.2	Chr1	27473763	27475122	+	protein_coding
AT1G09363	AT1G09363		Chr1	27474040	27474582	-	antisense_long_noncoding_rna
AT1G73040	AT1G73040		Chr1	27475060	27475962	-	protein_coding
AT1G73050	AT1G73050		Chr1	27476565	27478534	-	protein_coding
AT1G73060	AT1G73060	LPA3	Chr1	27478970	27481561	+	protein_coding
AT1G73065	AT1G73065		Chr1	27481734	27482171	-	protein_coding
AT1G73066	AT1G73066		Chr1	27481785	27484078	+	protein_coding
AT1G73080	AT1G73080	PEPR1	Chr1	27484240	27488204	+	protein_coding
AT1G73090	AT1G73090		Chr1	27488217	27490831	+	protein_coding
AT1G73100	AT1G73100	SUVH3	Chr1	27491184	27494182	+	protein_coding
AT1G09367	AT1G09367		Chr1	27491349	27491576	-	antisense_long_noncoding_rna
AT1G73110	AT1G73110		Chr1	27494121	27496969	-	protein_coding
AT1G73120	AT1G73120		Chr1	27497176	27498062	-	protein_coding
AT1G73130	AT1G73130		Chr1	27498929	27502273	+	protein_coding
AT1G73140	AT1G73140	TBL31	Chr1	27502021	27503834	-	protein_coding
AT1G73150	AT1G73150	GTE3	Chr1	27503973	27506406	-	protein_coding
AT1G73160	AT1G73160		Chr1	27506485	27508185	+	protein_coding
AT1G73165	AT1G73165	CLE1	Chr1	27508444	27509272	-	protein_coding
AT1G73170	AT1G73170		Chr1	27511176	27514837	-	protein_coding
AT1G73175	AT1G73175		Chr1	27515033	27516568	+	pseudogene
AT1G73177	AT1G73177	BNS	Chr1	27516572	27517882	-	protein_coding
AT1G73180	AT1G73180		Chr1	27517891	27521710	+	protein_coding
AT1G73190	AT1G73190	TIP3;1	Chr1	27521944	27523332	+	protein_coding
AT1G73200	AT1G73200		Chr1	27523043	27526818	-	protein_coding
AT1G73210	AT1G73210		Chr1	27527752	27530952	-	protein_coding
AT1G09373	AT1G09373		Chr1	27534533	27534769	-	long_noncoding_rna
AT1G73220	AT1G73220	OCT1	Chr1	27538190	27540235	+	protein_coding
AT1G73230	AT1G73230		Chr1	27540228	27541952	-	protein_coding
AT1G73240	AT1G73240		Chr1	27542147	27544920	-	protein_coding
AT1G73250	AT1G73250	GER1	Chr1	27544969	27546479	-	protein_coding
AT1G73260	AT1G73260	KTI1	Chr1	27547098	27548282	-	protein_coding
AT1G73270	AT1G73270	scpl6	Chr1	27549021	27552517	-	protein_coding
AT1G73280	AT1G73280	scpl3	Chr1	27552650	27555322	-	protein_coding
AT1G73290	AT1G73290	scpl5	Chr1	27556168	27558774	-	protein_coding
AT1G73300	AT1G73300	scpl2	Chr1	27559483	27562636	-	protein_coding
AT1G73310	AT1G73310	scpl4	Chr1	27562441	27565177	-	protein_coding
AT1G73320	AT1G73320		Chr1	27565394	27567222	-	protein_coding
AT1G73325	AT1G73325		Chr1	27567419	27568281	-	protein_coding
AT1G73330	AT1G73330	DR4	Chr1	27568714	27569823	-	protein_coding
AT1G73340	AT1G73340		Chr1	27573114	27575273	+	protein_coding
AT1G73350	AT1G73350		Chr1	27575377	27577283	-	protein_coding
AT1G09377	AT1G09377		Chr1	27578093	27578401	+	long_noncoding_rna
AT1G73360	AT1G73360	HDG11	Chr1	27578421	27582685	-	protein_coding
AT1G73370	AT1G73370	SUS6	Chr1	27584364	27588978	-	protein_coding
AT1G73380	AT1G73380		Chr1	27589015	27590838	+	protein_coding
AT1G73390	AT1G73390		Chr1	27590810	27595752	-	protein_coding
AT1G73400	AT1G73400		Chr1	27598033	27600281	+	protein_coding
AT1G73410	AT1G73410	MYB54	Chr1	27601593	27603317	+	protein_coding
AT1G73430	AT1G73430		Chr1	27603655	27611120	+	protein_coding
AT1G73440	AT1G73440		Chr1	27611354	27612815	+	protein_coding
AT1G09383	AT1G09383		Chr1	27611616	27611913	-	antisense_long_noncoding_rna
AT1G73445	AT1G73445		Chr1	27612616	27613350	-	transposable_element_gene
AT1G73450	AT1G73450		Chr1	27613420	27619095	+	protein_coding
AT1G73460	AT1G73460		Chr1	27619535	27625140	+	protein_coding
AT1G73470	AT1G73470		Chr1	27625116	27628325	+	protein_coding
AT1G73480	AT1G73480		Chr1	27628678	27632840	+	protein_coding
AT1G73490	AT1G73490		Chr1	27633183	27634990	-	protein_coding
AT1G73500	AT1G73500	MKK9	Chr1	27639091	27640643	-	protein_coding
AT1G09387	AT1G09387		Chr1	27641613	27642030	+	long_noncoding_rna
AT1G73510	AT1G73510		Chr1	27642386	27643295	-	protein_coding
AT1G73530	AT1G73530		Chr1	27643609	27645525	-	protein_coding
AT1G73540	AT1G73540	NUDT21	Chr1	27645552	27646743	-	protein_coding
AT1G73550	AT1G73550		Chr1	27647756	27648709	-	protein_coding
AT1G73560	AT1G73560		Chr1	27649695	27650471	-	protein_coding
AT1G73570	AT1G73570		Chr1	27650992	27654025	+	protein_coding
AT1G73580	AT1G73580		Chr1	27654744	27655769	+	protein_coding
AT1G09393	AT1G09393		Chr1	27656280	27656750	+	long_noncoding_rna
AT1G09397	AT1G09397		Chr1	27656350	27656750	-	long_noncoding_rna
AT1G73590	AT1G73590	PIN1	Chr1	27659673	27663253	+	protein_coding
AT1G73600	AT1G73600		Chr1	27669152	27673572	+	protein_coding
AT1G73603	AT1G73603	LCR64	Chr1	27674288	27674976	+	protein_coding
AT1G73607	AT1G73607	LCR65	Chr1	27676182	27676888	+	protein_coding
AT1G73610	AT1G73610		Chr1	27678313	27680060	+	protein_coding
AT1G73620	AT1G73620		Chr1	27681358	27683173	+	protein_coding
AT1G73630	AT1G73630		Chr1	27684673	27685614	+	protein_coding
AT1G73640	AT1G73640	RABA6a	Chr1	27686672	27688127	+	protein_coding
AT1G73650	AT1G73650		Chr1	27688123	27690307	-	protein_coding
AT1G57900	AT1G57900		Chr1	27688163	27688234	+	pseudogene
AT1G73655	AT1G73655		Chr1	27690350	27691819	-	protein_coding
AT1G73660	AT1G73660		Chr1	27691893	27697372	-	protein_coding
AT1G73670	AT1G73670	MPK15	Chr1	27699871	27703449	+	protein_coding
AT1G73680	AT1G73680	ALPHA DOX2	Chr1	27703944	27707657	-	protein_coding
AT1G09865	AT1G09865		Chr1	27711954	27712458	+	novel_transcribed_region
AT1G73687	AT1G73687	MIR159A	Chr1	27713233	27713416	-	mirna
AT1G73690	AT1G73690	CDKD1;1	Chr1	27714910	27717420	+	protein_coding
AT1G73700	AT1G73700		Chr1	27717380	27719741	-	protein_coding
AT1G09407	AT1G09407		Chr1	27720250	27720698	-	long_noncoding_rna
AT1G73710	AT1G73710		Chr1	27721190	27724954	+	protein_coding
AT1G73720	AT1G73720	SMU1	Chr1	27724991	27730031	+	protein_coding
AT1G73730	AT1G73730	EIL3	Chr1	27730031	27732683	-	protein_coding
AT1G73740	AT1G73740		Chr1	27734024	27736363	+	protein_coding
AT1G73750	AT1G73750		Chr1	27736546	27739210	+	protein_coding
AT1G73760	AT1G73760		Chr1	27739168	27742008	-	protein_coding
AT1G73770	AT1G73770		Chr1	27742081	27743565	+	protein_coding
AT1G73780	AT1G73780		Chr1	27743685	27744453	+	protein_coding
AT1G73790	AT1G73790	GIP2	Chr1	27744649	27745429	+	protein_coding
AT1G73805	AT1G73805	SARD1	Chr1	27744790	27749248	-	protein_coding
AT1G73810	AT1G73810		Chr1	27752342	27755297	-	protein_coding
AT1G73820	AT1G73820		Chr1	27755454	27757463	-	protein_coding
AT1G73830	AT1G73830	BEE3	Chr1	27759941	27761588	+	protein_coding
AT1G09417	AT1G09417		Chr1	27761944	27762256	-	long_noncoding_rna
AT1G73840	AT1G73840	ESP1	Chr1	27763617	27766372	-	protein_coding
AT1G73850	AT1G73850		Chr1	27766941	27770841	+	protein_coding
AT1G73860	AT1G73860		Chr1	27770870	27776883	-	protein_coding
AT1G73870	AT1G73870	BBX16	Chr1	27778984	27780809	+	protein_coding
AT1G73875	AT1G73875		Chr1	27780855	27784920	+	protein_coding
AT1G73880	AT1G73880	UGT89B1	Chr1	27784928	27786804	+	protein_coding
AT1G73885	AT1G73885		Chr1	27786864	27787708	+	protein_coding
AT1G73890	AT1G73890		Chr1	27787903	27788658	-	protein_coding
AT1G73900	AT1G73900		Chr1	27788983	27789054	+	pre_trna
AT1G73910	AT1G73910	ARP4A	Chr1	27789208	27790678	+	protein_coding
AT1G73920	AT1G73920		Chr1	27790737	27794928	+	protein_coding
AT1G73930	AT1G73930		Chr1	27795040	27798005	-	protein_coding
AT1G73940	AT1G73940		Chr1	27798237	27799695	-	protein_coding
AT1G73950	AT1G73950		Chr1	27799696	27804687	-	protein_coding
AT1G73960	AT1G73960	TAF2	Chr1	27804879	27814519	-	protein_coding
AT1G73965	AT1G73965	CLE13	Chr1	27815627	27816468	+	protein_coding
AT1G73970	AT1G73970		Chr1	27816778	27820170	+	protein_coding
AT1G73980	AT1G73980		Chr1	27820060	27824127	-	protein_coding
AT1G73990	AT1G73990	SPPA	Chr1	27824355	27829039	+	protein_coding
AT1G74000	AT1G74000	SS3	Chr1	27829051	27831536	-	protein_coding
AT1G74010	AT1G74010		Chr1	27832095	27834207	-	protein_coding
AT1G74020	AT1G74020	SS2	Chr1	27835123	27837443	-	protein_coding
AT1G74030	AT1G74030	ENO1	Chr1	27839159	27842132	-	protein_coding
AT1G74035	AT1G74035		Chr1	27839443	27839775	+	protein_coding
AT1G74040	AT1G74040	IMS1	Chr1	27842109	27845782	+	protein_coding
AT1G74045	AT1G74045	TET17	Chr1	27846012	27846840	+	protein_coding
AT1G74050	AT1G74050		Chr1	27847038	27849008	-	protein_coding
AT1G74060	AT1G74060		Chr1	27849217	27851437	-	protein_coding
AT1G74055	AT1G74055		Chr1	27849230	27849820	+	protein_coding
AT1G74070	AT1G74070		Chr1	27851460	27853269	-	protein_coding
AT1G74080	AT1G74080	MYB122	Chr1	27855578	27857598	+	protein_coding
AT1G74088	AT1G74088		Chr1	27861116	27862822	+	protein_coding
AT1G74090	AT1G74090	SOT18	Chr1	27862814	27864193	+	protein_coding
AT1G74100	AT1G74100	SOT16	Chr1	27864345	27865694	-	protein_coding
AT1G74110	AT1G74110	CYP78A10	Chr1	27866667	27868368	-	protein_coding
AT1G74120	AT1G74120		Chr1	27871174	27873332	-	protein_coding
AT1G74130	AT1G74130		Chr1	27873611	27876033	+	protein_coding
AT1G74140	AT1G74140		Chr1	27876905	27879780	+	protein_coding
AT1G74150	AT1G74150		Chr1	27880380	27883857	+	protein_coding
AT1G74160	AT1G74160	TRM4	Chr1	27885911	27891436	+	protein_coding
AT1G74170	AT1G74170	RLP13	Chr1	27891494	27896436	-	protein_coding
AT1G74180	AT1G74180	RLP14	Chr1	27897040	27902025	-	protein_coding
AT1G09423	AT1G09423		Chr1	27901762	27901962	+	long_noncoding_rna
AT1G74190	AT1G74190	RLP15	Chr1	27902590	27906168	-	protein_coding
AT1G74200	AT1G74200	RLP16	Chr1	27906909	27909358	-	protein_coding
AT1G74205	AT1G74205		Chr1	27909074	27910019	-	antisense_long_noncoding_rna
AT1G09427	AT1G09427		Chr1	27909763	27910187	+	long_noncoding_rna
AT1G74210	AT1G74210	GDPD5	Chr1	27910314	27912941	+	protein_coding
AT1G74220	AT1G74220		Chr1	27912931	27914161	-	protein_coding
AT1G74230	AT1G74230	GR-RBP5	Chr1	27914602	27917097	+	protein_coding
AT1G74240	AT1G74240		Chr1	27917249	27920192	+	protein_coding
AT1G74250	AT1G74250		Chr1	27920241	27922722	+	protein_coding
AT1G74260	AT1G74260	PUR4	Chr1	27922725	27927962	-	protein_coding
AT1G74270	AT1G74270		Chr1	27928171	27929537	-	protein_coding
AT1G74280	AT1G74280		Chr1	27929643	27931364	+	protein_coding
AT1G74290	AT1G74290		Chr1	27931836	27934268	+	protein_coding
AT1G74300	AT1G74300		Chr1	27935156	27936608	+	protein_coding
AT1G09433	AT1G09433		Chr1	27935393	27935621	-	antisense_long_noncoding_rna
AT1G74310	AT1G74310	HSP101	Chr1	27936508	27940369	-	protein_coding
AT1G74320	AT1G74320		Chr1	27940594	27943204	+	protein_coding
AT1G74330	AT1G74330		Chr1	27943243	27947886	-	protein_coding
AT1G74340	AT1G74340	DPMS2	Chr1	27948045	27951668	-	protein_coding
